S.No.,GeoAreaName,2001,2017
1,Afghanistan,54.06,24.65
2,Albania,39.13,37.19
3,Algeria,0.43,0.14
4,American Samoa,0,1.75
5,Americas,11.11,16.47
6,Andorra,15.39,19.14
7,Angola,72.34,56.16
8,Anguilla,0.18,0.18
9,Antigua and Barbuda,0,0.6
10,Argentina,13.04,11.24
11,Armenia,5.42,12.46
12,Aruba,0.18,6.46
13,Australia,8.37,9.54
14,Australia and New Zealand,10.98,12.44
15,Austria,25.31,33.25
16,Azerbaijan,1.75,1.91
17,Bahamas,0.45,1.43
18,Bahrain,0,0
19,Bangladesh,55.8,31.98
20,Barbados,12.56,3.59
21,Belarus,6.25,7.26
22,Belgium,1.58,9.63
23,Belize,29.61,38.69
24,Benin,66.86,45.61
25,Bermuda,0,0.48
26,Bhutan,91.75,83.44
27,Bolivia (Plurinational State of),28.92,13.43
28,"Bonaire, Sint Eustatius and Saba",0,2.78
29,Bosnia and Herzegovina,20.27,18.79
30,Botswana,35.67,28.56
31,Brazil,41.44,45.29
32,British Virgin Islands,1.06,1.27
33,Brunei Darussalam,0,0.01
34,Bulgaria,7.29,17.05
35,Burkina Faso,83.68,70.01
36,Burundi,94.84,88.24
37,Cabo Verde,37.18,22.88
38,Cambodia,79.59,61.46
39,Cameroon,85.2,78.65
40,Canada,21.01,23.15
41,Caribbean,22.77,20.66
42,Caucasus and Central Asia,4.62,4.35
43,Cayman Islands,0,0.01
44,Chad,88.6,85.37
45,Chile,32.15,23.5
46,China,28.34,12.77
47,Colombia,27.23,29.23
48,Comoros,47.95,38.83
49,Congo,61.18,70.04
50,Cook Islands,0,1.74
51,Costa Rica,32.11,36.22
52,Côte d'Ivoire,64.73,62.74
53,Croatia,26.95,29.81
54,Cuba,34.05,17.72
55,Curaçao,0.62,3.72
56,Cyprus,3.05,10.39
57,Czechia,6.29,14.47
58,Democratic People's Republic of Korea,8.62,27.41
59,Democratic Republic of the Congo,98.34,97.12
60,Denmark,11.12,36.52
61,Djibouti,31.68,14.53
62,Dominica,9.39,9.78
63,Dominican Republic,18.91,17.02
